driverID,first_name,last_name,overall_rating,gender,mobile_number,email
DR380,Daria,Carson,2.4,Male,(785) 611-7301,daria3651@yahoo.org
DR381,Bertha,Cohen,2.5,Male,(225) 855-0732,bertha@outlook.edu
DR382,Andrew,Kemp,4.5,Female,(659) 910-0211,andrew@google.edu
DR383,Amena,Fletcher,1.5,Female,(683) 714-1658,amena@outlook.edu
DR384,Zane,Dodson,4.1,Female,(542) 566-8813,zane8916@google.com
DR385,Chava,Banks,1.4,Male,(391) 620-4681,chava@google.edu
DR386,Aimee,Miller,4.5,Female,(384) 566-2808,aimee@outlook.edu
DR387,Halee,Christensen,4.6,Female,(350) 711-5171,halee6194@yahoo.edu
DR388,Benedict,Fitzgerald,2,Female,(598) 861-3201,benedict@yahoo.edu
DR389,Valentine,Baxter,3.1,Female,(520) 184-6320,valentine937@yahoo.edu
DR390,Maxwell,Horn,4.4,Female,(673) 859-5645,maxwell6149@outlook.com
DR391,Phoebe,Lopez,1.4,Male,(241) 418-3288,phoebe5388@outlook.com
DR392,Burke,Harvey,4.3,Male,(977) 535-7607,burke3933@yahoo.edu
DR393,Clinton,Cox,2,Male,(112) 868-2294,clinton@google.com
DR394,Kiona,Kramer,4.8,Male,(618) 171-1788,kiona3427@outlook.com
DR395,Abbot,Tucker,1.7,Female,(546) 252-6481,abbot@yahoo.org
DR396,Marny,Mejia,3.5,Male,(403) 452-5787,marny@outlook.com
DR397,Vielka,Wise,2.4,Female,(355) 668-6684,vielka2187@yahoo.edu
DR398,Vaughan,Neal,2.7,Male,(928) 583-0211,vaughan5994@google.org
DR399,Jelani,Mullins,3.4,Female,(404) 611-5734,jelani6902@yahoo.org
